,ERBB2,CPNE3,KPNA2,ARHGDIB,APRT,ATP5B,ATP5D,BOLA2,CACYBP,CALML3,CANX,CS,CTNNB1,DHX15,DLD,EIF5A,ETFB,HIST1H1B,HIST1H1E,HIST1H4A,HMGA1,HSPE1,KARS,LRPPRC,MDH2,NTMT1,PRDX3,PRKCSH,PTGES,RANBP1,RHOC,RPL19,SLC25A3,SLC25A6,SSBP1,SSRP1,VDAC2
1,3.06,1.64,7.87,0.84,0.82,0.75,0.46,2.37,6.64,1.37,1.51,0.74,1.23,1.96,0.87,1.13,1.19,6.9,1.62,0.47,1.59,4.14,2.66,2.03,1.47,3.16,0.56,1.36,1.18,1.31,0.58,2.21,2.07,0.89,1.15,1.5,1.08
2,3.1,1.56,6.15,1.31,0.63,0.62,0.58,2.32,3.45,2.09,1.65,0.87,1.89,2.03,1.55,1.46,1.86,1.74,1.26,0.67,1.03,4.17,1.78,2.49,1.23,2.79,0.46,1.44,1.57,1.07,0.83,1.5,2.46,1.21,1.9,1.51,0.85
3,3.32,1.73,4.05,0.28,1.58,1.23,1.02,2.32,3.18,4.98,1.54,1.95,0.64,1.26,3.14,1.32,5.19,2.26,1.1,0.46,0.29,3.77,2.78,2.98,2.15,1.33,0.55,1.52,1.88,2.32,0.78,1.67,3.13,3.29,1.86,1.73,2.8
4,3.77,1.24,2.38,0.78,1,0.83,0.66,1.89,2.3,1.46,1.42,0.94,0.63,1.07,2.36,1.92,2.58,2.46,1.76,1.03,0.42,2.01,1.9,1.44,1.48,1.62,0.49,2.28,0.96,2.88,1.12,2.44,3.24,1.19,1.68,2.44,1.42
5,3.19,1.7,3.71,0.25,1.21,0.85,1.07,2.55,5.32,6.02,2.05,0.86,0.87,1.28,1.58,1.38,1.85,1.58,1.04,0.71,1.29,3.67,2.79,1.76,1.96,2.56,0.67,1.51,1.13,1.67,0.59,2.45,2.77,1.84,1.42,1.6,3.84
6,2.91,1.31,4.67,1.68,0.76,0.62,0.87,3.06,4.8,3.04,2,0.92,1.05,1.71,0.91,2.44,2.2,2,1.36,0.96,3.4,2.86,2.11,1.33,1.14,2.84,0.37,1.88,6.44,1.61,2.67,3.32,2.61,1.58,1.47,1.91,1.76
7,4.62,2.27,1.47,0.5,1.29,0.75,0.96,1.83,2.75,2.9,1.56,0.77,1.07,0.84,2.12,1.38,1.61,0.89,0.64,0.41,0.88,1.34,2.2,1.52,1.19,1.42,0.73,1.53,1.56,2.52,0.63,1.84,2.73,1.6,1.1,1.62,1.61
8,0.18,1.83,1.41,0.54,0.84,0.66,0.54,3.05,3.09,3.25,1.06,0.82,1.03,1.54,1.38,1.29,1.02,1.36,1.28,0.57,0.3,2.05,2,1.41,0.84,0.76,0.28,1.29,1.89,1.43,1.01,1.44,1.85,1.43,1.21,1.19,2.7
9,3.62,1.42,3.91,0.37,0.9,0.83,0.96,2.95,2.98,4.51,1.46,0.88,0.74,1.71,1.74,1.41,0.95,2.59,0.87,0.68,0.72,1.68,2.33,1.58,1.23,1.55,0.72,0.82,1.41,2.83,0.56,1.47,1.96,1.24,1.31,1.64,1.76
10,5.24,1.36,4.35,0.26,1.24,0.83,0.71,1.56,4.34,1.27,1.56,1.19,0.61,1.38,1.27,1.29,2.23,2.49,0.84,0.68,2.21,1.58,2.71,1.52,1.19,1.63,0.33,1.44,2.07,1.38,0.71,1.83,2.49,2.18,1.32,1.77,2.71
11,2.59,1.71,2.18,0.5,0.97,0.63,0.53,1.56,2.81,3.87,1.63,0.79,2.08,1.66,2.33,1.51,1.34,1.44,0.95,0.75,2.52,2.45,1.78,1.94,1.46,1.86,0.49,1.55,1.54,1.41,1.76,1.9,5.48,2.16,1.83,2.07,2
12,7.07,2.04,3.48,0.69,0.95,0.43,0.36,3.26,5.18,4.19,1.58,0.68,1.98,1.47,1.1,0.93,0.96,3.46,0.95,0.32,1.85,1.4,2.97,1.71,1.1,1.2,0.16,1.23,2.67,1.45,1.41,1.52,0.63,1.02,1.19,1.18,1.65
13,4.75,2.14,5.13,0.2,0.89,0.82,0.71,2.71,2.84,3.27,1.36,1,1.48,1.49,2.15,1.05,1.42,1.54,0.8,0.38,0.74,2.52,1.65,2.34,1.27,1.67,0.5,1.15,0.74,1.76,0.57,1.78,1.74,2.28,0.9,1.89,3.11
14,1.83,1.07,3.23,0.83,0.8,0.78,0.99,3.2,3.18,3.39,2.23,0.91,0.93,1.53,2.68,2.79,2.06,1.42,0.91,0.94,2.4,3.6,2.28,2.1,1.34,2.3,0.59,1.8,1.91,1.37,1.06,3.21,3.06,1.81,1.45,1.3,1.56